pid,province,urban_direct,age,income,edu_years,wave,hukou,price_exp,gender,price_exp_lag,revision,wave_lag,cpi_yoy,fe_proxy,edu_high,urban,income_tercile,income_below_median,attention_index,attention_tercile,meat_shock,grain_shock,egg_shock,headline_cpi_next,region,realized_cpi_ann,fe_clean
220187103,22,1,27,27000,12,2014,3,-1,1,-1,0,2012,0.06666666666666667,1,1,0,3,0,0.8753741842606766,3,NA,0.114446806514444,0.100096200511414,0.0344516259200721,Northeast,3.44516259200721,5.44516259200721
220187103,22,1,29,-8,12,2016,NA,-1,1,-1,0,2014,0.17282323749999767,1,1,1,1,0,0.09558063475380452,2,0.100684779496455,0.0518992862822328,-0.0765139656099587,0.0355493463104916,Northeast,3.55493463104916,5.55493463104916
220187103,22,1,NA,-8,15,2020,3,-1,NA,-1,0,2016,0.024241802500000513,1,1,0,1,0,0.102925231899826,2,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,5.74449568082121
220189101,22,1,44,0,9,2014,1,0,1,0,0,2012,0.06666666666666667,0,0,1,1,0,-0.11176396239221703,2,NA,0.114446806514444,0.100096200511414,0.0344516259200721,Northeast,3.44516259200721,3.44516259200721
220189101,22,1,46,-8,9,2016,NA,0,1,0,0,2014,0.17282323749999767,0,0,1,1,0,-0.11176396239221703,2,0.100684779496455,0.0518992862822328,-0.0765139656099587,0.0355493463104916,Northeast,3.55493463104916,3.55493463104916
220189101,22,1,NA,-8,9,2018,1,0,NA,0,0,2016,0.1508164650000021,0,0,1,1,0,-0.11176396239221703,2,-0.100822006376818,0.0259650345622959,-0.0602724019357296,0.0544331033931943,Northeast,5.44331033931943,5.44331033931943
220189101,22,1,NA,-8,9,2020,1,-1,NA,0,-1,2018,0.024241802500000513,1,0,1,1,0,-0.11176396239221703,2,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,5.74449568082121
220189101,22,1,NA,-8,9,2022,1,-1,NA,-1,0,2020,0.14999999999999505,1,0,1,1,0,-0.11176396239221703,2,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220189102,22,1,45,0,9,2014,1,-1,0,-1,0,2012,0.06666666666666667,1,0,1,1,0,-0.11176396239221703,2,NA,0.114446806514444,0.100096200511414,0.0344516259200721,Northeast,3.44516259200721,5.44516259200721
220189102,22,1,47,-8,9,2016,NA,-1,0,-1,0,2014,0.17282323749999767,1,0,1,1,0,-0.11176396239221703,2,0.100684779496455,0.0518992862822328,-0.0765139656099587,0.0355493463104916,Northeast,3.55493463104916,5.55493463104916
220189102,22,1,NA,-8,9,2018,1,-1,NA,-1,0,2016,0.1508164650000021,1,0,1,1,0,-0.11176396239221703,2,-0.100822006376818,0.0259650345622959,-0.0602724019357296,0.0544331033931943,Northeast,5.44331033931943,7.44331033931943
